company_id,roe,dividend_payout,sales_growth,debt_ratio,pro_roe,pro_dividend,pro_sales,pro_debt
ABB,34.9,73.0,48.204251160517956,0.011850681414181316,1,1,1,0
ADANIENSOL,8.59,0.0,93.5791871058164,0.5644724846976428,0,0,1,0
ADANIENT,13.64,5.0,135.7233370965141,0.4424706218916421,1,0,1,0
ADANIGREEN,14.7,0.0,322.98940761082775,0.6862545543365426,1,0,1,0
ADANIPORTS,18.1,16.0,139.5603470058115,0.4006269094949014,1,1,1,0
ADANIPOWER,57.1,0.0,106.47574429499772,0.34034698151357595,1,0,1,0
AMBUJACEM,9.24,12.0,21.19982290436836,0.01017343154155566,0,1,1,1
APOLLOHOSP,13.81,26.0,81.99519871965857,0.3770718232044199,1,1,1,0
ASIANPAINT,31.45,58.0,72.33684627183217,0.08536337110673814,1,1,1,0
ATGL,20.5,4.0,157.38666666666668,0.21294942999123062,1,0,1,0
AXISBANK,18.4,1.0,92.6383012692584,0.8531608001111814,1,0,1,0
BAJAJ-AUTO,26.5,29.0,63.44129148701494,0.11441472885127175,1,1,1,0
BAJAJFINSV,11.72,2.0,132.3103530753804,0.5300692786866158,1,0,1,0
BAJAJHLDNG,14.8,20.0,298.39080459770116,0.0006479809190299587,1,1,1,0
BAJFINANCE,22.1,15.0,136.13786304694017,0.770743790650793,1,1,1,0
BANKBARODA,16.7,21.0,57.353444451486155,0.8785248749830037,1,1,1,0
BEL,26.3,40.0,66.37106724244293,0.3466666666666667,1,1,1,0
BHARTIARTL,14.9,62.0,77.60997955197112,0.48926205361597636,1,1,1,0
BHEL,1.05,31.0,20.36062060289801,0.14771899729742852,0,1,1,0
BOSCHLTD,16.0,44.0,74.25320056899004,0.0016737757140543167,1,1,1,0
BPCL,41.9,33.0,56.586382356661936,0.27875356253491523,1,1,1,0
BRITANNIA,57.1,83.0,48.6551724137931,0.29090524981514737,1,1,1,0
CANBK,17.9,19.0,139.94051327398057,0.8923543567567286,1,1,1,0
CHOLAFIN,20.2,5.0,158.287419651056,0.8680810134930885,1,0,1,0
CIPLA,16.8,25.0,57.488909642773756,0.013302553744048477,1,1,1,0
COALINDIA,52.0,42.0,46.05328892589509,0.03134436695687744,1,1,1,0
DABUR,19.2,53.0,43.3160621761658,0.10700543577841569,1,1,1,0
DLF,6.95,45.0,15.091237876048002,0.0685533485674108,0,1,1,1
DMART,14.5,0.0,130.04825090470447,0.030946180555555557,1,0,1,1
DRREDDY,21.4,12.0,78.27824399155107,0.10387776065742167,1,1,1,0
EICHERMOT,24.2,35.0,86.7052654577234,0.01657095980311731,1,1,1,0
GAIL,14.0,37.0,87.6513417358449,0.1521990247230384,1,1,1,0
GODREJCP,6.77,55.0,42.7908384623146,0.20164348925410872,0,1,1,0
GRASIM,6.9,12.0,100.89667702045362,0.3526760827197438,0,1,1,0
HAL,28.9,31.0,45.27395663324784,0.2605042016806723,1,1,1,0
HAVELLS,18.0,44.0,119.03601694915254,0.025850657945962783,1,1,1,0
HCLTECH,23.3,90.0,63.150149980191294,0.05804757274741137,1,1,1,0
HDFCBANK,17.1,23.0,169.27301148221198,0.7710554380260602,1,1,1,0
HDFCLIFE,11.4,27.0,242.99523485364193,0.002821042003830678,1,1,1,0
HEROMOTOCO,22.0,75.0,37.06843508580023,0.020095007005912307,1,1,1,0
HINDALCO,10.2,8.0,89.61436890574215,0.24164763898138458,1,0,1,0
HINDUNILVR,20.2,96.0,57.50697534122615,0.02044202315359376,1,1,1,0
ICICIBANK,18.8,16.0,112.82356546749021,0.6983773275077695,1,1,1,0
ICICIGI,17.0,28.0,102.3183120604324,0.0,1,1,1,0
ICICIPRULI,8.07,10.0,268.9512485136742,0.0,0,0,1,1
INDIGO,0.0,123.0,113.88298467390088,0.016142050040355124,0,1,1,1
INDUSINDBK,15.2,14.0,70.25327450231039,0.8397254022352336,1,1,1,0
INFY,31.8,73.0,76.21570419975548,0.062056812574892505,1,1,1,0
IOC,25.44,40.0,57.408689792315656,0.32019948658658465,1,1,1,0
IRCTC,40.4,47.0,96.7756183745583,0.006176470588235294,1,1,1,0
IRFC,13.7,31.0,100.44706057670814,0.8154397307160138,1,1,1,0
ITC,29.47,84.0,52.13209686563538,0.003231601662574013,1,1,1,0
JINDALSTEL,14.1,3.0,31.89621074282098,0.20859963030530015,1,0,1,0
JIOFIN,1.82,0.0,4273.333333333333,0.0,0,0,1,1
JSWENERGY,8.4,19.0,37.99105523993715,0.4751586274872174,0,1,1,0
JSWSTEEL,11.66,25.0,132.21503968578676,0.4085380498181569,1,1,1,0
KOTAKBANK,15.1,2.0,91.35149668399355,0.6778642301935605,1,0,1,0
LICI,63.61,15.0,42.682268570782576,1.7485204457118497e-06,1,1,1,0
LODHA,10.7,14.0,9.089447882343487,0.1686187612113538,1,1,0,0
LT,10.49,36.0,64.23356158732778,0.08087340495810298,1,1,1,0
LTIM,26.04,42.0,241.29055979409873,0.08087340495810298,1,1,1,0
MARUTI,15.75,29.0,91.92836373248744,0.0012983171180646859,1,1,1,0
MOTHERSON,11.8,20.0,80.11493685059857,0.2596777654042236,1,1,1,0
NAUKRI,2.44,49.0,102.89634146341464,0.005101024190013151,0,1,1,1
NESTLEIND,135.61,79.0,48.20973782771535,0.03330932661145121,1,1,1,0
NHPC,9.61,53.0,-3.1774580335731413,0.35022163982760207,0,1,0,0
NTPC,12.52,36.0,69.82021486516115,0.49165837108668714,1,1,1,0
ONGC,14.32,31.0,66.0316388054284,0.2527527210426418,1,1,1,0
PFC,19.49,23.0,57.828554889128306,0.825157858579377,1,1,1,0
PIDILITIND,22.8,47.0,76.87140115163147,0.029713837710701685,1,1,1,0
PNB,8.7,18.0,111.45343967369531,0.7602078180486659,0,1,1,0
POWERGRID,19.0,67.0,21.375582874099194,0.4800996486445199,1,1,1,0
RECLTD,22.2,30.0,71.9658005477256,0.8124917048453784,1,1,1,0
RELIANCE,9.25,10.0,57.511492779199536,0.1969701226859006,0,0,1,0
SBILIFE,12.0,14.0,196.9838805424905,0.0,1,1,1,0
SBIN,17.3,18.0,74.03057972518269,0.0,1,1,1,0
SHREECEM,12.2,16.0,53.88560770904569,0.06037546214867727,1,1,1,0
SHRIRAMFIN,15.9,23.0,140.71010204697785,0.7554700876449996,1,1,1,0
SIEMENS,19.1,16.0,69.97859981656985,0.011028103877623622,1,1,1,0
SUNPHARMA,16.7,34.0,53.20056032645106,0.029188796586318035,1,1,1,0
TATACONSUM,8.32,64.0,69.10864376880772,0.0954149176622538,0,1,1,1
TATAMOTORS,49.4,7.0,68.56183063416428,0.27274379505242463,1,0,1,0
TATAPOWER,11.3,17.0,117.90568369028007,0.4018052780265968,1,1,1,0
TATASTEEL,6.55,50.0,58.07233741247487,0.3539084392948323,0,1,1,0
TCS,0.52,58.0,60.61395740017458,0.05614309475931581,0,1,1,1
TECHM,8.63,150.0,42.33481610068352,0.047516753449926445,0,1,1,1
TITAN,32.9,28.0,158.68326049781493,0.5575645186215422,1,1,1,0
TORNTPHARM,24.2,57.0,42.36049880337574,0.2073170731707317,1,1,1,0
TRENT,27.2,8.0,331.0097532989099,0.2226250906453952,1,0,1,0
TVSMOTOR,26.6,23.0,127.52400657859833,0.3252569750367107,1,1,1,0
ULTRACEMCO,12.2,29.0,68.0815460758897,0.1576418767598108,1,1,1,0
UNIONBANK,15.6,20.0,185.64796285920116,0.8927044014390911,1,1,1,0
UNITDSPR,21.0,46.0,26.76675603217158,0.043329150982852366,1,1,1,0
VBL,35.2,16.0,166.29733520336606,0.0,1,1,1,0
VEDL,10.5,259.0,71.05166554170071,0.3889752650176678,1,1,1,0
WIPRO,14.3,5.0,45.23209787693415,0.15357780043328662,1,0,1,0
ZOMATO,1.12,0.0,589.9040307101727,0.0459829398928784,0,0,1,1
ZYDUSLIFE,20.7,8.0,50.733178979863894,0.006042103924187496,1,0,1,1
